legislator,role,district,party,residence,gender,desk_number,profession,notes,session_name,session_year,regular
"Smith, Greg",NA,57,Republican,"Heppner, Morrow, Wallowa, Umatilla, Union",Male,23,Government and Public Administration,NA,2007 Session,2007,TRUE
"Smith, Patti",NA,52,Republican,"Corbett, Hood River, Clackamas, Multnomah",Female,47,"Agriculture, Food and Natural Resources",NA,2007 Session,2007,TRUE
"Thatcher, Kim",NA,25,Republican,"Salem, Marion, Yamhill",Female,16,Business Management and Administration,NA,2007 Session,2007,TRUE
"Tomei, Carolyn",NA,41,Democrat,"Milwaukie, Clackamas, Multnomah",Female,58,Government and Public Administration,NA,2007 Session,2007,TRUE
"Whisnant, Gene",NA,53,Republican,"Sunriver, Deschutes",Male,33,Government and Public Administration,NA,2007 Session,2007,TRUE
"Witt, Bradley",NA,31,Democrat,"Salem, Clatsop, Columbia, Multnomah",Male,54,Government and Public Administration,NA,2007 Session,2007,TRUE
"Ackerman, Robert",NA,13,Democrat,Portion of Lane,Male,27,"Law, Public Safety, Corrections and Security",NA,2006 Special Session,2006,FALSE
"Anderson, Gordon",NA,3,Republican,Portion of Josephine,Male,16,Retired,NA,2006 Special Session,2006,FALSE
"Avakian, Brad",NA,34,Democrat,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",NA,2006 Special Session,2006,FALSE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,20,Retired,NA,2006 Special Session,2006,FALSE
"Barnhart, Phil",NA,11,Democrat,Portions of Lane and Linn,Male,35,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Berger, Vicki",NA,20,Republican,Portions of Marion and Polk,Female,24,Retired,NA,2006 Special Session,2006,FALSE
"Beyer, Elizabeth Terry",NA,12,Democrat,Portion of Lane,Female,37,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Boone, Deborah",NA,32,Democrat,"Portions of Clatsop, Columbia, Tillamook and Washington",Female,38,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Boquist, Brian",NA,23,Republican,"Portions of Benton, Linn, Marion, Polk and Yamhill",Male,30,"Agriculture, Food and Natural Resources",NA,2006 Special Session,2006,FALSE
"Brown, Alan",NA,10,Republican,"Lincoln and portions of Lane, Polk, Tillamook and Yamhill",Male,41,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Bruun, Scott",NA,37,Republican,Portions of Clackamas and Washington,Male,22,Finance,NA,2006 Special Session,2006,FALSE
"Buckley, Peter",NA,5,Democrat,Portion of Jackson,Male,29,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Burley, Charles",NA,54,Republican,Portion of Deschutes,Male,9,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Butler, R. Thomas",NA,60,Republican,"Baker, Harney, Maheur and portion of Grant",Male,42,Finance,NA,2006 Special Session,2006,FALSE
"Cameron, Kevin",NA,19,Republican,Portion of Marion,Male,48,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Dallum, John",NA,59,Republican,"Gilliam, Jefferson, Sherman, Wasco, Wheeler and portions of Clackamas, Deschutes, Grant and Marion",Male,8,Retired,NA,2006 Special Session,2006,FALSE
"Dalto, Billy",NA,21,Republican,Portion of Marion,Male,7,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Dingfelder, Jackie",NA,45,Democrat,Portion of Multnomah,Female,60,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,17,"Marketing, Sales and Service",NA,2006 Special Session,2006,FALSE
"Farr, Debi",NA,14,Republican,Portion of Lane,Female,14,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Flores, Linda",NA,51,Republican,Portions of Clackamas and Multnomah,Female,15,"Law, Public Safety, Corrections and Security",NA,2006 Special Session,2006,FALSE
"Galizio, Larry",NA,35,Democrat,Portions of Multnomah and Washington,Male,28,Education and Training,NA,2006 Special Session,2006,FALSE
"Garrard, Bill",NA,56,Republican,Portion of Klamath,Male,39,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Gelser, Sara",NA,16,Democrat,Portion of Benton,Female,44,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Gilman, George",NA,55,Republican,"Crook, Lake and portions of Deschutes, Jackson, and Klamath",Male,18,"Agriculture, Food and Natural Resources",NA,2006 Special Session,2006,FALSE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Education and Training,NA,2006 Special Session,2006,FALSE
"Hanna, Bruce",NA,7,Republican,Portions of Douglas and Lane,Male,1,"Transportation, Distribution and Logistics",NA,2006 Special Session,2006,FALSE
"Hansen, Gary",NA,44,Democrat,Portion of Multnomah,Male,53,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Hass, Mark",NA,27,Democrat,Portions of Multnomah and Washington,Male,58,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Holvey, Paul",NA,8,Democrat,Portion of Lane,Male,45,Architecture and Construction,NA,2006 Special Session,2006,FALSE
"Hunt, Dave",NA,40,Democrat,Portion of Clackamas,Male,11,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Jenson, Bob",NA,58,Republican,Portions of Umatilla and Union,Male,56,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Kitts, Derrick",NA,30,Republican,Portion of Washington,Male,49,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Komp, Betty",NA,22,Democrat,Portion of Marion,Female,2,Education and Training,NA,2006 Special Session,2006,FALSE
"Krieger, Wayne",NA,1,Republican,Curry and portions of Coos and Douglas,Male,40,"Agriculture, Food and Natural Resources",NA,2006 Special Session,2006,FALSE
"Kropf, Jeff",NA,17,Republican,Portions of Linn and Marion,Male,33,"Marketing, Sales and Service",NA,2006 Special Session,2006,FALSE
"Krummel, Jerry",NA,26,Republican,Portions of Clackamas and Washington,Male,31,Education and Training,NA,2006 Special Session,2006,FALSE
"Lim, John",NA,50,Republican,Portion of Multnomah,Male,26,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Macpherson, Greg",NA,38,Democrat,"Portions of Clackamas, Multnomah and Washington",Male,19,"Law, Public Safety, Corrections and Security",NA,2006 Special Session,2006,FALSE
"March, Steve",NA,46,Democrat,Portion of Multnomah,Male,46,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Merkley, Jeff",House Democratic Leader,47,Democrat,Portion of Multnomah,Male,51,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Minnis, Karen",Speaker,49,Republican,Portion of Multnomah,Female,55,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Morgan, Susan",NA,2,Republican,"Portions of Douglas, Jackson and Josephine",Female,57,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Nelson, Donna",NA,24,Republican,Portions of Polk and Yamhill,Female,34,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Nolan, Mary",NA,36,Democrat,Portion of Multnomah,Female,43,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,13,Retired,NA,2006 Special Session,2006,FALSE
"Richardson, Dennis",Speaker Pro Tempore,4,Republican,Portions of Jackson and Josephine,Male,32,"Law, Public Safety, Corrections and Security",NA,2006 Special Session,2006,FALSE
"Riley, Chuck",NA,29,Democrat,Portion of Washington,Male,5,Retired,NA,2006 Special Session,2006,FALSE
"Roblan, Arnie",NA,9,Democrat,"Portions of Coos, Douglas and Lane",Male,21,Retired,NA,2006 Special Session,2006,FALSE
"Rosenbaum, Diane",NA,42,Democrat,Portion of Multnomah,Female,52,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Schaufler, Mike",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,36,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Scott, Wayne",Republican Leader,39,Republican,Portion of Clackamas,Male,50,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Shields, Chip",NA,43,Democrat,Portion of Multnomah,Male,6,Human Services,NA,2006 Special Session,2006,FALSE
"Smith, Greg",NA,57,Republican,"Morrow, Wallowa and portions of Umatilla and Union",Male,23,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Smith, Patti",NA,52,Republican,Hood River and portions of Clackamas and Multnomah,Female,47,"Agriculture, Food and Natural Resources",NA,2006 Special Session,2006,FALSE
"Sumner, Mac",NA,18,Republican,Portions of Clackamas and Marion,Male,10,Retired,NA,2006 Special Session,2006,FALSE
"Thatcher, Kim",NA,25,Republican,Portions of Marion and Yamhill,Female,3,Business Management and Administration,NA,2006 Special Session,2006,FALSE
"Tomei, Carolyn",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,59,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,25,Retired,NA,2006 Special Session,2006,FALSE
"Witt, Brad",NA,31,Democrat,"Portions of Clatsop, Columbia and Multnomah",Male,54,Government and Public Administration,NA,2006 Special Session,2006,FALSE
"Ackerman, Robert",NA,13,Democrat,"Eugene, Lane",Male,27,"Law, Public Safety, Corrections and Security",NA,2005 Session,2005,TRUE
"Anderson, Gordon",NA,3,Republican,"Grants Pass, Josephine",Male,16,Retired,NA,2005 Session,2005,TRUE
"Avakian, Brad",NA,34,Democrat,"Portland, Washington",Male,12,"Law, Public Safety, Corrections and Security",NA,2005 Session,2005,TRUE
"Barker, Jeff",NA,28,Democrat,"Aloha, Washington",Male,20,Retired,NA,2005 Session,2005,TRUE
"Barnhart, Phil",NA,11,Democrat,"Eugene, Lane, Linn",Male,35,Government and Public Administration,NA,2005 Session,2005,TRUE
"Berger, Vicki",NA,20,Republican,"Marion, Polk",Female,24,Retired,NA,2005 Session,2005,TRUE
"Beyer, Elizabeth Terry",NA,12,Democrat,"Springfield, Lane",Female,37,Government and Public Administration,NA,2005 Session,2005,TRUE
"Boone, Deborah",NA,32,Democrat,"Cannon Beach, Clatsop, Columbia, Tillamook, Washington",Female,38,Government and Public Administration,NA,2005 Session,2005,TRUE
"Boquist, Brian",NA,23,Republican,"Dallas, Benton, Linn, Marion, Polk, Yamhill",Male,30,"Agriculture, Food and Natural Resources",NA,2005 Session,2005,TRUE
"Brown, Alan",NA,10,Republican,"Newport, Lincoln, Lane, Polk, Tillamook, Yamhill",Male,41,Business Management and Administration,NA,2005 Session,2005,TRUE
"Bruun, Scott",NA,37,Republican,"West Linn, Clackamas, Washington",Male,22,Finance,NA,2005 Session,2005,TRUE
"Buckley, Peter",NA,5,Democrat,"Ashland, Jackson",Male,29,Government and Public Administration,NA,2005 Session,2005,TRUE
"Burley, Chuck",NA,54,Republican,"Bend, Deschutes",Male,9,Business Management and Administration,NA,2005 Session,2005,TRUE
"Butler, R. Thomas",NA,60,Republican,"Ontario, Baker, Harney, Malheur, Grant",Male,42,Finance,NA,2005 Session,2005,TRUE
"Cameron, Kevin",NA,19,Republican,"Salem, Marion",Male,48,Business Management and Administration,"Kevin Cameron was appointed on February 17, 2005 to fill the vacancy of Dan Doyle who resigned on January 31, 2005.",2005 Session,2005,TRUE
"Dallum, John",NA,59,Republican,"The Dalles, Gilliam, Jefferson, Sherman, Wasco, Wheeler, Clackamas, Deschutes, Grant, Marion",Male,8,Retired,NA,2005 Session,2005,TRUE
"Dalto, Billy",NA,21,Republican,"Salem, Marion",Male,7,Business Management and Administration,NA,2005 Session,2005,TRUE
"Dingfelder, Jackie",NA,45,Democrat,"Portland, Multnomah",Female,60,Government and Public Administration,NA,2005 Session,2005,TRUE
"Doyle, Dan",NA,19,Republican,"Salem, Marion",Male,48,"Law, Public Safety, Corrections and Security","Dan Doyle resigned on January 31, 2005. Kevin Cameron was appointed on February 17, 2005 to fill the vacancy.",2005 Session,2005,TRUE
"Esquivel, Sal",NA,6,Republican,"Medford, Jackson",Male,17,"Marketing, Sales and Service",NA,2005 Session,2005,TRUE
"Farr, Debi",NA,14,Republican,"Eugene, Lane",Female,14,Government and Public Administration,NA,2005 Session,2005,TRUE
"Flores, Linda",NA,51,Republican,"Clackamas, Clackamas, Multnomah",Female,15,"Law, Public Safety, Corrections and Security",NA,2005 Session,2005,TRUE
"Galizio, Larry",NA,35,Democrat,"Tigard, Multnomah, Washington",Male,28,Education and Training,NA,2005 Session,2005,TRUE
"Garrard, Bill",NA,56,Republican,"Klamath Falls, Klamath",Male,39,Government and Public Administration,NA,2005 Session,2005,TRUE
"Gilman, George",NA,55,Republican,"Medford, Crook, Lake, Deschutes, Jackson, Klamath",Male,18,"Agriculture, Food and Natural Resources",NA,2005 Session,2005,TRUE
"Greenlick, Mitch",NA,33,Democrat,"Portland, Multnomah, Washington",Male,4,Education and Training,NA,2005 Session,2005,TRUE
"Hanna, Bruce",NA,7,Republican,"Roseburg, Douglas, Lane",Male,1,"Transportation, Distribution and Logistics",NA,2005 Session,2005,TRUE
"Hansen, Gary",NA,44,Democrat,"Portland, Multnomah",Male,53,Government and Public Administration,NA,2005 Session,2005,TRUE
"Hass, Mark",NA,27,Democrat,"Portland, Multnomah, Washington",Male,58,Business Management and Administration,NA,2005 Session,2005,TRUE
"Holvey, Paul",NA,8,Democrat,"Eugene, Lane",Male,45,Architecture and Construction,NA,2005 Session,2005,TRUE
"Hunt, Dave",NA,40,Democrat,"Oak Grove, Clackamas",Male,11,Business Management and Administration,NA,2005 Session,2005,TRUE
"Jenson, Bob",NA,58,Republican,"Pendleton, Umatilla, Union",Male,56,Government and Public Administration,NA,2005 Session,2005,TRUE
"Johnson, Elizabeth (Betsy)",NA,31,Democrat,"Scappoose, Clatsop, Columbia, Multnomah",Female,54,Business Management and Administration,"Elizabeth (Betsy) Johnson resigned from her House seat on January 19, 2005 to fill the Senate seat vacated by Joan Dukes who was appointed by the Governor to the Pacific Northwest Electric Power and Conservation Planning Council.",2005 Session,2005,TRUE
"Kitts, Derrick",NA,30,Republican,"Hillsboro, Washington",Male,49,Business Management and Administration,NA,2005 Session,2005,TRUE
"Komp, Betty",NA,22,Democrat,"Woodburn, Marion",Female,2,Education and Training,NA,2005 Session,2005,TRUE
"Krieger, Wayne",NA,1,Republican,"Gold Beach, Curry, Coos, Douglas",Male,40,"Agriculture, Food and Natural Resources",NA,2005 Session,2005,TRUE
"Kropf, Jeff",NA,17,Republican,"Salem, Linn, Marion",Male,33,"Marketing, Sales and Service",NA,2005 Session,2005,TRUE
"Krummel, Jerry",NA,26,Republican,"Wilsonville, Clackamas, Washington",Male,31,Education and Training,NA,2005 Session,2005,TRUE
"Lim, John",NA,50,Republican,"Gresham, Multnomah",Male,26,Business Management and Administration,NA,2005 Session,2005,TRUE
"Macpherson, Greg",NA,38,Democrat,"Lake Oswego, Clackamas, Multnomah, Washington",Male,19,"Law, Public Safety, Corrections and Security",NA,2005 Session,2005,TRUE
"March, Steve",NA,46,Democrat,"Portland, Multnomah",Male,46,Government and Public Administration,NA,2005 Session,2005,TRUE
"Merkley, Jeff",Minority Leader,47,Democrat,"Portland, Multnomah",Male,51,Government and Public Administration,NA,2005 Session,2005,TRUE
"Minnis, Karen",Speaker,49,Republican,"Salem, Multnomah",Female,55,Government and Public Administration,NA,2005 Session,2005,TRUE
"Morgan, Susan",NA,2,Republican,"Myrtle Creek, Douglas, Jackson, Josephine",Female,57,Government and Public Administration,NA,2005 Session,2005,TRUE
"Nelson, Donna G.",NA,24,Republican,"McMinnville, Polk, Yamhill",Female,34,Government and Public Administration,NA,2005 Session,2005,TRUE
"Nolan, Mary",NA,36,Democrat,"Portland, Multnomah",Female,43,Business Management and Administration,NA,2005 Session,2005,TRUE
"Olson, Andy",NA,15,Republican,"Benton, Linn",Male,13,Retired,NA,2005 Session,2005,TRUE
"Richardson, Dennis",Speaker Pro Tempore,4,Republican,"Central Point, Jackson, Josephine",Male,32,"Law, Public Safety, Corrections and Security",NA,2005 Session,2005,TRUE
"Riley, Chuck",NA,29,Democrat,"Hillsboro, Washington",Male,5,Retired,NA,2005 Session,2005,TRUE
"Roblan, Arnie",NA,9,Democrat,"Coos Bay, Coos, Douglas, Lane",Male,21,Retired,NA,2005 Session,2005,TRUE
"Rosenbaum, Diane",NA,42,Democrat,"Portland, Multnomah",Female,52,Government and Public Administration,NA,2005 Session,2005,TRUE
"Schaufler, Mike",NA,48,Democrat,"Happy Valley, Clackamas, Multnomah",Male,36,Government and Public Administration,NA,2005 Session,2005,TRUE
"Scott, Wayne",Majority Leader,39,Republican,"Canby, Clackamas",Male,50,Business Management and Administration,NA,2005 Session,2005,TRUE
"Shields, Chip",NA,43,Democrat,"Portland, Multnomah",Male,6,Human Services,NA,2005 Session,2005,TRUE
"Smith, Greg",NA,57,Republican,"Heppner, Morrow, Wallowa, Umatilla, Union",Male,23,Government and Public Administration,NA,2005 Session,2005,TRUE
"Smith, Patti",NA,52,Republican,"Corbett, Hood River, Clackamas, Multnomah",Female,47,"Agriculture, Food and Natural Resources",NA,2005 Session,2005,TRUE
"Sumner, Mac",NA,18,Republican,"Molalla, Clackamas, Marion",Male,10,Retired,NA,2005 Session,2005,TRUE
"Thatcher, Kim",NA,25,Republican,"Salem, Marion, Yamhill",Female,3,Business Management and Administration,NA,2005 Session,2005,TRUE
